idx,annotation,so_title,so_api,target_api,overlap_api,unk_token
260022,<unk> den <unk> um den angegebenen <unk>,Map with multiple value types with advantages of generics,java.util.HashMap.put,Calendar . getInstance Calendar . setTime Calendar . add Calendar . getTime,calendar.getinstance calendar.settime calendar.add calendar.gettime,FALSE
1228789,return the version object for the given string,Binary search for strings,java.util.Arrays.sort,Pattern . compile Pattern . matcher Matcher . matches Integer . parseInt Matcher . group Integer . parseInt Matcher . groupCount Matcher . group Integer . parseInt,pattern.compile pattern.matcher matcher.matches integer.parseint matcher.group integer.parseint matcher.groupcount matcher.group integer.parseint,FALSE
98293,this gets the max forecast value from a forecast time series that has already been prepared,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,ArrayList . size ArrayList . get,arraylist.size arraylist.get,FALSE
1012158,remove from the inserted feature,Java sibling removal throws ConcurrentModificationException,"java.util.Iterator.remove,java.util.List.remove,java.util.Iterator.remove,java.util.List.remove",List < Object > . contains List < Object > . remove,list.contains list.remove,FALSE
1561140,create a filesystem or content resource definition bean,Java Change File Working Directory,java.lang.System.setProperty,String . valueOf String . replaceAll String . endsWith String . length String . substring String . startsWith,string.valueof string.replaceall string.endswith string.length string.substring string.startswith,FALSE
260601,"get a yyyy mmm dd , HH : mm : ss",Parse a Date of MMMM YYYY format,java.text.SimpleDateFormat.parse,Calendar . getInstance Calendar . setTime Calendar . get Integer . toString Calendar . get Integer . toString String . length Integer . toString,calendar.getinstance calendar.settime calendar.get integer.tostring calendar.get integer.tostring string.length integer.tostring,FALSE
1005174,compute the average precision after all processing is done,Index out of bounds on ArrayList sublist,java.util.List.size,List < Double > . get List < Double > . size String . format,list.get list.size string.format,FALSE
355175,clear the content of the object paths table,Java ArrayList clear() function,java.util.ArrayList.clear,Connection . createStatement Statement . executeUpdate,connection.createstatement statement.executeupdate,FALSE
1111628,verify if the word that is being spell checked contains an internet address,Removing Characters within a string-Java,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit",Math . min String . substring String . startsWith,math.min string.substring string.startswith,FALSE
997482,get the last portion of this <unk>,who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,List . size List . get,list.size list.get,FALSE
1490846,clean up file path returned by ur ls,Filter the URL path of images (img src) to obtain the file name,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . length String . charAt String . substring String . startsWith String . substring,string.length string.charat string.substring string.startswith string.substring,FALSE
646243,add a players <unk> to the <unk>,Populating a Boolean Array in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",HashMap < Boolean > . containsKey HashMap < Integer > . get HashMap < Integer > . put HashMap < Boolean > . put HashMap < Integer > . put HashMap < Boolean > . put,hashmap.containskey hashmap.get hashmap.put hashmap.put hashmap.put hashmap.put,FALSE
130128,<unk> la <unk> xml,How to replace a certain instance of a character,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",ArrayList < Object > . toArray Method . invoke ArrayList < Object > . add Object . getClass Method . invoke ArrayList < Object > . add,arraylist.toarray method.invoke arraylist.add object.getclass method.invoke arraylist.add,FALSE
1516457,replace the placeholder with its respective value,Search for CharSequences between two CharSeqeunces (Java),"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . replaceAll String . replace String . startsWith String . replace String . startsWith Pattern . matcher Matcher . group String . replace String . length String . substring String . equalsIgnoreCase String . replaceAll,string.replaceall string.replace string.startswith string.replace string.startswith pattern.matcher matcher.group string.replace string.length string.substring string.equalsignorecase string.replaceall,FALSE
1051411,add a single copy of the given element to this multiset,Difference between implicit and explicit ArrayList size declarations?,java.util.List.add,Map . get Integer . intValue Map . put,map.get integer.intvalue map.put,FALSE
1555387,attempt to remove all unnecessary p tags from html strings,Java replacing special characters,"java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote,java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote,java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote",String . trim String . length String . toLowerCase String . endsWith String . indexOf String . length String . lastIndexOf String . length String . substring String . length,string.trim string.length string.tolowercase string.endswith string.indexof string.length string.lastindexof string.length string.substring string.length,FALSE
1400388,close the db interface,Is it necessary to close connection and statement when method terminates?,java.lang.System.exit,Statement . close Connection . commit Connection . rollback Connection . close,statement.close connection.commit connection.rollback connection.close,FALSE
294885,add the given classes to the jar,Arrays.asList() vs Collections.singletonList(),"java.util.Collections.singletonList,java.util.Arrays.asList,java.util.Collections.singletonList,java.util.Arrays.asList",Class . getName List < String > . add,class.getname list.add,FALSE
1418855,<unk> = <unk> ; <unk> = <unk> <unk> = <unk> <unk> = <unk>,"how can i get the text before and after the ""-"" (dash)","java.lang.String.split,java.lang.String.indexOf,java.lang.String.substring,java.lang.String.split,java.lang.String.indexOf,java.lang.String.substring,java.lang.String.split,java.lang.String.indexOf,java.lang.String.substring",String . charAt Integer . valueOf String . length Integer . valueOf,string.charat integer.valueof string.length integer.valueof,FALSE
1049340,return the <unk> dimension for the one specified,Java Map with multiple keys,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map . entrySet Entry . getValue Entry . getKey,map.entryset entry.getvalue entry.getkey,FALSE
1462627,strip off the <unk> distinguished name pieces and just pass back the user id,How to extract a date from a string and put it into a date variable in Java,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . indexOf String . substring String . trim,string.indexof string.substring string.trim,FALSE
559918,clone from <unk> com,Creating a file just to be uploaded into the online form,"java.io.File.createTempFile,java.io.File.deleteOnExit,java.io.File.createTempFile,java.io.File.deleteOnExit",File . isDirectory File . getAbsolutePath File . getCanonicalPath File . listFiles,file.isdirectory file.getabsolutepath file.getcanonicalpath file.listfiles,FALSE
1525076,"return a path relative to the appropriate lookup root directory , while including the name of the root directory for example , if the parameter is c : \ opt \ staging \ gl \ <unk>",How to extract a date from a string and put it into a date variable in Java,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . startsWith File . getAbsolutePath,string.startswith file.getabsolutepath,FALSE
1461848,<unk> above,Java AWT rotating ball,"java.lang.Math.cos,java.lang.Math.sin,java.lang.Math.cos,java.lang.Math.sin",String . indexOf String . substring String . length String . substring System . setProperty String . equals,string.indexof string.substring string.length string.substring system.setproperty string.equals,FALSE
1500456,find a suitable character position to wrap at,Java regexp substring extraction pattern,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . length String . substring String . indexOf,string.length string.substring string.indexof,FALSE
1062508,replace all the values for a condition and moves it to the end of the map,Using string as name for objects in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Map < Condition , SortedSet < String > > . remove Map < Condition , SortedSet < String > > . put",map.remove map.put,FALSE
1439903,retrieve parent path from dfs path string,easiest way to get every word except the last word from a string,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . equals String . lastIndexOf String . substring,string.equals string.lastindexof string.substring,FALSE
1228497,attempt to extract a repository name from a given url using regular expressions,Regular expression in Java,"java.util.regex.Pattern.compile,java.lang.String.matches,java.util.regex.Pattern.compile,java.lang.String.matches",Pattern . compile Pattern . matcher Matcher . group String . substring,pattern.compile pattern.matcher matcher.group string.substring,FALSE
1476967,get the class name sans package for the given object,Filter the URL path of images (img src) to obtain the file name,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . lastIndexOf String . substring,string.lastindexof string.substring,FALSE
1441840,set the value for this number,how to define an eclipse mask formatted text field?,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit",String . equals String . valueOf,string.equals string.valueof,FALSE
1085765,include an object and everything reachable from it in the bundle,Is it safe to use hashmap value reference when it may be updated in another thread,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Map < String , ObjectId > . containsKey Map < String , ObjectId > . put",map.containskey map.put,FALSE
1006284,deliver a event to all of the registered subscribers,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,List < EventListener > . iterator Iterator < EventListener > . hasNext Iterator < EventListener > . next,list.iterator iterator.hasnext iterator.next,FALSE
1535383,all columns in the <unk> <unk> have a of string type,Java regexp substring extraction pattern,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . substring String . indexOf String . substring String . indexOf String . substring String . indexOf String . length String . substring String . indexOf String . length String . substring String . indexOf String . substring BufferedReader . readLine String . indexOf String . substring,string.substring string.indexof string.substring string.indexof string.substring string.indexof string.length string.substring string.indexof string.length string.substring string.indexof string.substring bufferedreader.readline string.indexof string.substring,FALSE
1185890,check if another object is equal to the current object,Why does .equals() result in an Assertion Error when comparing two objects...but only sometimes?,"java.lang.Object.equals,java.lang.String.equals,java.lang.Object.equals,java.lang.String.equals",Object . getClass Objects . equals,object.getclass objects.equals,FALSE
1365242,"two <unk> model objects are equal if they have the same types , sets , relations , and extension relationship",What to do in findXY method if no such object exists?,"java.util.Optional.of,java.util.Optional.empty,java.util.Optional.of,java.util.Optional.empty",Set . equals Map  . equals Set . equals,set.equals map.equals set.equals,FALSE
457544,restore the current state from the given dom element dimensional collapse,How to invoke generic methods with runtime type information?,"java.lang.Class.getMethod,java.lang.reflect.Method.invoke,java.lang.Class.getMethod,java.lang.reflect.Method.invoke",Element . getAttribute Integer . parseInt,element.getattribute integer.parseint,FALSE
558395,"indicate that when invoking <unk> , a path relative to the given one should be shown",Why can't my program use my assigned string operator to calculate the two integers?,"java.lang.String.equalsIgnoreCase,java.lang.String.equals,java.lang.String.equalsIgnoreCase,java.lang.String.equals",File . getPath String . length String . charAt String . substring,file.getpath string.length string.charat string.substring,FALSE
1674415,generate a password for a reset password,Android/Java Time difference ISO 8601 with Now,"java.lang.System.currentTimeMillis,java.util.Date.getTime,java.lang.System.currentTimeMillis,java.util.Date.getTime",System . currentTimeMillis String . hashCode Integer . toHexString,system.currenttimemillis string.hashcode integer.tohexstring,FALSE
285782,store a object in db,Mysql JDBC driver ClassNotFoundException,"java.lang.Class.forName,java.sql.DriverManager.getConnection,java.lang.Class.forName,java.sql.DriverManager.getConnection",Class . forName DriverManager . getConnection Connection . createStatement Statement . execute Statement . close Connection . close,class.forname drivermanager.getconnection connection.createstatement statement.execute statement.close connection.close,FALSE
1526280,discard less useful or <unk> <unk> logs based on the message,Is it safe to use hashmap value reference when it may be updated in another thread,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",String . startsWith String . endsWith String . indexOf String . endsWith String . startsWith String . endsWith String . indexOf String . startsWith String . equals String . startsWith String . endsWith String . startsWith String . endsWith String . startsWith String . equals String . startsWith String . length String . charAt String . substring,string.startswith string.endswith string.indexof string.endswith string.startswith string.endswith string.indexof string.startswith string.equals string.startswith string.endswith string.startswith string.endswith string.startswith string.equals string.startswith string.length string.charat string.substring,FALSE
1252739,<unk> if the user input the correct username and password,Comparing strings in java,"java.lang.String.equalsIgnoreCase,java.lang.String.equals,java.lang.String.equalsIgnoreCase,java.lang.String.equals",PreparedStatement . setString PreparedStatement . executeQuery ResultSet . getInt,preparedstatement.setstring preparedstatement.executequery resultset.getint,FALSE
502453,return a string with the value of a public variable of the model,When are strings different objects in Java?,"java.lang.StringBuilder.toString,java.lang.StringBuilder.append,java.lang.StringBuilder.toString,java.lang.StringBuilder.append",Field . getType Field . get Array . getLength Array . get Field . get,field.gettype field.get array.getlength array.get field.get,FALSE
1183298,convert the object src to the given type,"Java- method which returns generic type needs @SuppressWarnings(""unchecked"") and (T) new Result()","java.lang.Class.getConstructor,java.lang.reflect.Constructor.newInstance,java.lang.Class.getConstructor,java.lang.reflect.Constructor.newInstance",Object . getClass Class . newInstance Class . getSimpleName,object.getclass class.newinstance class.getsimplename,FALSE
481310,display query results,How to get values. keys from HashMap?,java.util.HashMap.get,"Entry < String , Integer > . getKey Entry < String , Integer > . getValue",entry.getkey entry.getvalue,FALSE
1091737,print all current key value pairs to stdout,Java - How expensive is a HashMap.get() call?,java.util.HashMap.get,"Map < String , String > . keySet Map < String , String > . get",map.keyset map.get,FALSE
1557734,add the given string into the buffer and returns the input string back,"For each character in string, read each one from right to left",java.lang.StringBuilder.reverse,String . trim StringBuffer . append,string.trim stringbuffer.append,FALSE
1077261,"change the status of all ct as to ready , once they finish saving their states",Populating a Boolean Array in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Map < String , Integer > . keySet Map < String , Integer > . put",map.keyset map.put,FALSE
1476125,"return the extension of the filename , if this file isnt a directory",Regular expression to extract file name?,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . lastIndexOf String . substring String . length String . substring,string.lastindexof string.substring string.length string.substring,FALSE
1552148,check if the id exists in the table t group,Can't invoke HashMap's getEntry via reflection on Java 8,java.util.HashMap.get,String . trim ResultSet . first Integer . parseInt ResultSet . getString Integer . parseInt,string.trim resultset.first integer.parseint resultset.getstring integer.parseint,FALSE
1090905,by <unk>,Extract every complete word that contains a certain substring,"java.lang.String.split,java.util.regex.Pattern.quote,java.lang.String.split,java.util.regex.Pattern.quote","Map < String , String > . get String . trim",map.get string.trim,FALSE
1645213,resolve and adds a namespace instruction to the output,How can i add a Char variable in a string variable,"java.lang.StringBuilder.toString,java.lang.StringBuilder.append,java.lang.StringBuilder.toString,java.lang.StringBuilder.append",StringBuilder . append String . format StringBuilder . append String . format StringBuilder . append,stringbuilder.append string.format stringbuilder.append string.format stringbuilder.append,FALSE
1080793,do not use use commands remove the specified property from the entity,"Java name clash error, despite different method signatures",java.util.Map.remove,"Map < String , Map < String , Object > > . get Map < String , Object > . remove",map.get map.remove,FALSE
688018,build the texture region and animation cache for all sprites contained in this sheet,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,HashMap < String > . keySet HashMap < String > . get,hashmap.keyset hashmap.get,FALSE
1527372,method test format,Using Scanner.next() to split a String set into an ArrayList,"java.lang.String.split,java.lang.String.replaceAll,java.lang.String.split,java.lang.String.replaceAll",String . startsWith String . indexOf,string.startswith string.indexof,FALSE
297498,return the class search order starting with extensible class code,java.lang.ClassNotFoundException while attempting to load dynamically a class in glassfish,"java.lang.Thread.currentThread,java.lang.Class.forName,java.lang.Thread.currentThread,java.lang.Class.forName",Class . getSuperclass Class . getInterfaces,class.getsuperclass class.getinterfaces,FALSE
313362,check whether none of the elements in the given collection <unk> to the associated condition,Event dispatching thread remove from List exception SWING,"java.util.Collections.unmodifiableList,java.util.Arrays.asList,java.util.Collections.unmodifiableList,java.util.Arrays.asList",Collection . iterator Iterator . next,collection.iterator iterator.next,FALSE
659529,return book removing url from the list or null if not found,How to get a specific entry from a custom ArrayList?,java.util.ArrayList.get,"HashMap < String , Book > . get List < String > . remove",hashmap.get list.remove,FALSE
976112,store the value to an index of the underlying list,who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,List . get List . set,list.get list.set,FALSE
95598,"remove from ac list int number deletes a <unk> through field , both from layout auto complete text view and ac list array list","Java name clash error, despite different method signatures",java.util.Map.remove,ArrayList . size ArrayList . get ArrayList . remove,arraylist.size arraylist.get arraylist.remove,FALSE
1083795,compute max min for given column,Constrain Rectangle within Rectangle,"java.lang.Math.max,java.lang.Math.min,java.lang.Math.max,java.lang.Math.min","Map < String , Object > . get Number . doubleValue",map.get number.doublevalue,FALSE
1551437,return an instance of the named socket tracker,Using string as name for objects in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",String . trim Map < String > . get String . trim Map < String > . get Class . forName Class . cast String . trim Class . cast Class . newInstance Map < String > . put,string.trim map.get string.trim map.get class.forname class.cast string.trim class.cast class.newinstance map.put,FALSE
1419081,note close does nor close the underlying stream,Is it safe to use hashmap value reference when it may be updated in another thread,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",String . charAt OutputStream . write String . charAt OutputStream . write String . charAt OutputStream . write String . length OutputStream . write String . length OutputStream . write OutputStream . flush,string.charat outputstream.write string.charat outputstream.write string.charat outputstream.write string.length outputstream.write string.length outputstream.write outputstream.flush,FALSE
258657,return date object with the current year and the given month <unk>,Android/Java Time difference ISO 8601 with Now,"java.lang.System.currentTimeMillis,java.util.Date.getTime,java.lang.System.currentTimeMillis,java.util.Date.getTime",Calendar . getInstance Calendar . get Calendar . set Calendar . getTime,calendar.getinstance calendar.get calendar.set calendar.gettime,FALSE
982023,remove the last overlay to display the previous or none,How to iterate through ArrayList of objects?,java.util.ArrayList.get,List . isEmpty List . size List . remove List . get,list.isempty list.size list.remove list.get,FALSE
1108021,return the <unk> value associated with the distance between two distances away from the viewer,Impose numerical limit using mathematics,"java.lang.Math.abs,java.lang.Math.min,java.lang.Math.abs,java.lang.Math.min",Math . max Math . exp,math.max math.exp,FALSE
1426125,handle disable query,Marshalling List of Object without affecting existing list,java.util.List.add,String . contentEquals List . size List . get,string.contentequals list.size list.get,FALSE
771416,call when a page cannot be found,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,Iterator . hasNext Iterator . next String . startsWith String . length String . substring,iterator.hasnext iterator.next string.startswith string.length string.substring,FALSE
364217,<unk> <unk> z <unk> <unk> <unk> w <unk>,Regular expression in Java,"java.util.regex.Pattern.compile,java.lang.String.matches,java.util.regex.Pattern.compile,java.lang.String.matches",Connection . prepareStatement PreparedStatement . setString PreparedStatement . executeUpdate Connection . close,connection.preparestatement preparedstatement.setstring preparedstatement.executeupdate connection.close,FALSE
1423473,implement comparable interface so that this object can be compared to other function form objects and ordered alphabetically,"Performance difference between arrays, stacks and queues","java.util.Arrays.binarySearch,java.util.Arrays.sort,java.util.Arrays.binarySearch,java.util.Arrays.sort",String . compareTo List . size List . get String . compareTo List . get String . compareTo,string.compareto list.size list.get string.compareto list.get string.compareto,FALSE
98254,string representation of an assignment,Time for getting by comparable key from HashMap,java.util.HashMap.get,ArrayList . size ArrayList . get,arraylist.size arraylist.get,FALSE
653673,return the category active list for the specified category id,How to get a specific entry from a custom ArrayList?,java.util.ArrayList.get,HashMap < Integer > . containsKey HashMap < Integer > . get HashMap < Integer > . put,hashmap.containskey hashmap.get hashmap.put,FALSE
1527907,the only non buggy way to get a file name is to look at the full url then chop off the context to make it a relative url,Regular expression to extract file name?,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . startsWith String . length String . substring String . indexOf,string.startswith string.length string.substring string.indexof,FALSE
1061438,add the field to the inclusion list,"How can we know, that some method is applied?",java.util.Map.put,"Map < Class , Set < String > > . containsKey Map < Class , Set < String > > . put",map.containskey map.put,FALSE
1684257,"compare two strings for equality , while avoiding newline issues on different platforms",How do I get a platform-dependent new line character?,"java.lang.String.format,java.lang.System.getProperty,java.lang.System.lineSeparator,java.lang.String.format,java.lang.System.getProperty,java.lang.System.lineSeparator,java.lang.String.format,java.lang.System.getProperty,java.lang.System.lineSeparator",System . getProperty String . replace,system.getproperty string.replace,FALSE
1495795,locate the best instance of pattern in text near loc using the bitap algorithm,how to define an eclipse mask formatted text field?,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit","String . length String . indexOf Math . min String . lastIndexOf Math . min String . length Math . max Math . min String . length Math . min String . length Map < Character , Integer > . containsKey Map < Character , Integer > . get Math . max",string.length string.indexof math.min string.lastindexof math.min string.length math.max math.min string.length math.min string.length map.containskey map.get math.max,FALSE
1483521,liefert einen <unk> <unk>,Java Built In Date Manipulation and Comparison,"java.lang.System.currentTimeMillis,java.util.Date.getTime,java.lang.System.currentTimeMillis,java.util.Date.getTime",String . length List . size List . get,string.length list.size list.get,FALSE
1429807,the has more games method is used to check whether there are any more games to be played,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . equals ArrayList < Entry > . size,string.equals arraylist.size,FALSE
1072088,return a reversed version of the feature difference,how to wrap the numbers from the textview in android,"java.lang.String.split,java.lang.String.replaceAll,java.lang.String.split,java.lang.String.replaceAll",Map < PropertyDescriptor > . entrySet Iterator < Entry < PropertyDescriptor > > . hasNext Iterator < Entry < PropertyDescriptor > > . next Entry < PropertyDescriptor > . getValue Entry < PropertyDescriptor > . getKey Map < PropertyDescriptor > . put,map.entryset iterator.hasnext iterator.next entry.getvalue entry.getkey map.put,FALSE
1535009,check if a date its inside a @ param month,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . substring String . equalsIgnoreCase,string.substring string.equalsignorecase,FALSE
351489,check if a table exists in the db,How to fetch a single data with sql in java NetBeans,"java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate,java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate",Connection . createStatement Connection . getMetaData,connection.createstatement connection.getmetadata,FALSE
1560216,add canonical skeleton pattern pairs which might have been omitted in date time pattern <unk> skeletons map,Is it safe to use hashmap value reference when it may be updated in another thread,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","String . valueOf Map < String , String > . containsKey Map < String , String > . put",string.valueof map.containskey map.put,FALSE
1001645,test whether all the column bindings exist,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,List . size String . equals List . get,list.size string.equals list.get,FALSE
223878,obtain header from post request,"Read file and store values into two arrays, one for each line","java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",BufferedReader . readLine String . startsWith String . split Integer . parseInt String . valueOf,bufferedreader.readline string.startswith string.split integer.parseint string.valueof,FALSE
1520673,metodo <unk> por <unk> os parametros de entrada dos <unk>,Getting values separated by commas from a text box and storing as an array JAVA,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . split Integer . parseInt,string.split integer.parseint,FALSE
1016499,set the pattern for which this parser will match,java regex matcher error,"java.util.regex.Pattern.compile,java.util.regex.Pattern.quote,java.util.regex.Pattern.compile,java.util.regex.Pattern.quote",List < String > . clear Pattern . matcher List < String > . add Matcher . replaceAll,list.clear pattern.matcher list.add matcher.replaceall,FALSE
